Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1988,.57,.44,.51,.43,.44,.40,.33,.39,.37,.38,.12,.29,.39,.40,.49,.46,.37,.29
1989,.12,.30,.36,.29,.17,.17,.34,.33,.34,.29,.20,.37,.27,.27,.24,.27,.28,.28
1990,.41,.44,.80,.56,.45,.37,.45,.34,.23,.44,.46,.40,.45,.44,.41,.60,.39,.38
1991,.43,.50,.35,.51,.34,.53,.47,.39,.44,.29,.30,.32,.40,.41,.44,.40,.46,.34
1992,.48,.40,.48,.27,.31,.26,.08,.08,-.01,.06,.03,.21,.22,.23,.40,.36,.14,.03
1993,.35,.37,.36,.28,.28,.23,.25,.11,.12,.23,.04,.18,.23,.24,.31,.31,.20,.13
1994,.26,.02,.29,.41,.28,.44,.30,.21,.32,.42,.44,.38,.32,.30,.16,.33,.32,.39
1995,.53,.79,.47,.47,.27,.43,.46,.45,.34,.47,.44,.26,.45,.46,.57,.40,.45,.42
1996,.24,.46,.32,.33,.27,.25,.37,.48,.25,.19,.38,.37,.33,.32,.32,.31,.37,.28
1997,.30,.41,.52,.34,.34,.54,.34,.41,.52,.61,.64,.59,.46,.44,.36,.40,.43,.59
1998,.58,.88,.63,.64,.68,.77,.66,.65,.42,.41,.43,.55,.61,.61,.68,.65,.69,.42
1999,.49,.64,.32,.32,.26,.36,.38,.31,.38,.34,.37,.41,.38,.39,.56,.30,.35,.36
2000,.25,.56,.55,.57,.36,.40,.39,.42,.39,.26,.30,.28,.39,.40,.40,.49,.40,.32
2001,.45,.43,.55,.50,.57,.52,.59,.49,.52,.50,.72,.56,.53,.51,.39,.54,.53,.58
2002,.77,.79,.88,.58,.64,.53,.61,.53,.63,.54,.59,.44,.63,.64,.70,.70,.55,.58
2003,.75,.58,.59,.55,.61,.48,.58,.64,.62,.72,.53,.75,.62,.59,.59,.58,.56,.62
2004,.58,.72,.63,.61,.37,.43,.26,.45,.50,.60,.72,.50,.53,.55,.68,.53,.38,.61
2005,.74,.59,.74,.67,.63,.64,.61,.60,.71,.75,.73,.68,.67,.66,.61,.68,.62,.73
2006,.56,.73,.63,.47,.47,.65,.53,.71,.65,.69,.74,.79,.63,.63,.65,.52,.63,.69
2007,1.02,.70,.72,.76,.69,.61,.60,.60,.60,.58,.59,.50,.66,.69,.84,.72,.60,.59
2008,.31,.38,.74,.53,.49,.48,.60,.46,.61,.67,.69,.54,.54,.54,.39,.59,.51,.66
2009,.64,.52,.54,.61,.65,.64,.73,.68,.72,.65,.79,.68,.65,.64,.57,.60,.69,.72
2010,.75,.83,.92,.84,.75,.68,.62,.67,.63,.70,.81,.45,.72,.74,.75,.84,.66,.71
2011,.52,.47,.65,.65,.53,.62,.70,.74,.56,.65,.58,.60,.61,.59,.48,.61,.69,.60
2012,.49,.49,.58,.72,.78,.64,.58,.65,.72,.79,.78,.53,.65,.65,.53,.69,.63,.77
2013,.71,.62,.67,.54,.61,.69,.60,.69,.77,.69,.84,.69,.67,.66,.62,.60,.66,.76
2014,.76,.55,.78,.79,.86,.67,.58,.82,.87,.80,.66,.78,.74,.74,.67,.81,.69,.78
2015,.85,.90,.95,.76,.80,.81,.72,.80,.85,1.09,1.06,1.16,.90,.86,.84,.84,.78,1.00
2016,1.17,1.37,1.36,1.10,.95,.80,.84,1.01,.90,.88,.91,.86,1.01,1.04,1.23,1.14,.88,.90
2017,1.02,1.14,1.16,.94,.91,.72,.81,.87,.76,.90,.88,.93,.92,.91,1.01,1.00,.80,.85
2018,.81,.84,.88,.89,.82,.77,.82,.76,.80,1.02,.82,.92,.85,.85,.86,.86,.79,.88
2019,.93,.94,1.17,1.01,.85,.91,.94,.94,.93,1.01,.99,1.09,.98,.96,.93,1.01,.93,.98
2020,1.16,1.24,1.17,1.13,1.02,.92,.90,.87,.99,.89,1.10,.81,1.02,1.04,1.17,1.11,.90,.99
2021,.81,.64,.88,.76,.78,.84,.92,.81,.92,.99,.93,.85,.84,.84,.75,.81,.86,.95
2022,.91,.89,1.05,.83,.83,.92,.93,.95,.89,.96,***,***,***,***,.88,.90,.93,***
